,t,survival_rate,expected_benefit,net_single_premium
0,0,3.988,0.0,93172.52892449833
1,1,3.976036,747.75,93638.39156912082
2,2,3.964107892,745.50675,93355.09477696643
3,3,3.952215568324,743.27022975,93072.63596710123
4,4,3.940358921619028,741.0404190607501,92791.012566038
5,5,3.9285378448541706,738.8172978035677,92510.22200771212
6,6,3.9167522313196086,736.6008459101571,92230.26173345809
7,7,3.90500197462565,734.3910433724267,91951.12919198567
8,8,3.893286968701773,732.1878702423093,91672.82183935629
9,9,3.8816071077956673,729.9913066315825,91395.33713895954
10,10,3.86996228647228,727.8013327116876,91118.6725614896
11,11,3.858352399612864,725.6179287135526,90842.82558492181
12,12,3.8467773424140246,723.4410749274118,90567.79369448929
13,13,3.8352370103867823,721.2707517026296,90293.57438265966
14,14,3.823731299355622,719.1069394475217,90020.1651491118
15,15,3.8122601054575553,716.9496186291792,89747.56350071258
16,16,3.800823325141183,714.7987697732917,89475.76695149383
17,17,3.78942085516576,712.6543734639718,89204.77302262912
18,18,3.778052592600262,710.5164103435798,88934.57924241095
19,19,3.7667184348224607,708.3848611125492,88665.1831462277
20,20,3.755418279517994,706.2597065292116,88396.58227654072
21,21,3.74415202467944,704.1409274096238,88128.77418286155
22,22,3.7329195686054018,702.028504627395,87861.75642172917
23,23,3.7217208098995855,699.9224191135128,87595.52655668728
24,24,3.7105556474698873,697.8226518561723,87330.08215826162
25,25,3.699423980527478,695.7291839006039,87065.42080393748
26,26,3.688325708585895,693.641996348902,86801.54007813704
27,27,3.677260731460137,691.5610703598553,86538.43757219707
28,28,3.666228949265757,689.4863871487757,86276.1108843464
29,29,3.65523026241796,687.4179279873294,86014.5576196836
30,30,3.6442645716307056,685.3556742033675,85753.77539015474
31,31,3.6333317779158136,683.2996071807573,85493.76181453113
32,32,3.622431782582066,681.249708359215,85234.5145183871
33,33,3.61156448723432,679.2059592341375,84976.03113407802
34,34,3.600729793772617,677.1683413564349,84718.3093007181
35,35,3.589927604391299,675.1368363323656,84461.34666415848
36,36,3.579157821578125,673.1114258233688,84205.14087696523
37,37,3.5684203481133907,671.0920915458985,83949.68959839756
38,38,3.5577150870690506,669.0788152712609,83694.99049438591
39,39,3.5470419418078434,667.071578825447,83441.04123751022
40,40,3.53640081598242,665.0703640889707,83187.83950697818
41,41,3.5257916135344725,663.0751529967038,82935.38298860365
42,42,3.515214238693869,661.0859275377136,82683.66937478498
43,43,3.5046685959777872,659.1026697551004,82432.6963644835
44,44,3.494154590189854,657.1253617458351,82182.46166320203
45,45,3.483672126419284,655.1539856605975,81932.96298296348
46,46,3.4732211100400265,653.1885237036158,81684.19804228938
47,47,3.462801446709906,651.2289581325049,81436.16456617869
48,48,3.452413042369777,649.2752712581075,81188.86028608642
49,49,3.442055803242668,647.3274454443332,80942.28293990245
50,50,3.43172963583294,645.3854631080003,80696.43027193038
51,51,3.421434446925441,643.4493067186762,80451.30003286651
52,52,3.411170143584665,641.5189587985203,80206.88997977856
53,53,3.400936633153911,639.5944019221247,79963.19787608492
54,54,3.3907338232544486,637.6756187163583,79720.2214915336
55,55,3.3805616217846857,635.7625918602091,79477.95860218132
